First Name,Last Name,Company,Email,Lead Name,Intent Score,Last Action,Clicked Pricing?
Sheryl,Baxter,Rasmussen Group,zunigavanessa@smith.info,Sheryl Baxter,40,Viewed pricing page,View Pricing
Preston,Lozano,Vega-Gentry,vmata@colon.com,Preston Lozano,,,View Pricing
Roy,Berry,Murillo-Perry,beckycarr@hogan.com,Roy Berry,,,View Pricing
Linda,Olsen,"Dominguez, Mcmillan and Donovan",stanleyblackwell@benson.org,Linda Olsen,,,View Pricing
Joanna,Bender,"Martin, Lang and Andrade",colinalvarado@miles.net,Joanna Bender,,,View Pricing
Aimee,Downs,Steele Group,louis27@gilbert.com,Aimee Downs,,,View Pricing
Darren,Peck,"Lester, Woodard and Mitchell",tgates@cantrell.com,Darren Peck,,,View Pricing
Brett,Mullen,"Sanford, Davenport and Giles",asnow@colon.com,Brett Mullen,,,View Pricing
Sheryl,Meyers,Browning-Simon,mariokhan@ryan-pope.org,Sheryl Meyers,,,View Pricing
Michelle,Gallagher,Beck-Hendrix,mdyer@escobar.net,Michelle Gallagher,,,View Pricing
Carl,Schroeder,"Oconnell, Meza and Everett",kirksalas@webb.com,Carl Schroeder,,,View Pricing
Jenna,Dodson,"Hoffman, Reed and Mcclain",mark42@robbins.com,Jenna Dodson,,,View Pricing
Tracey,Mata,Graham-Francis,alex56@walls.org,Tracey Mata,,,View Pricing
Kristine,Cox,Carpenter-Cook,holdenmiranda@clarke.com,Kristine Cox,,,View Pricing
Faith,Lutz,Carter-Hancock,cassieparrish@blevins-chapman.net,Faith Lutz,,,View Pricing
Miranda,Beasley,Singleton and Sons,vduncan@parks-hardy.com,Miranda Beasley,,,View Pricing
Caroline,Foley,Winters-Mendoza,holtgwendolyn@watson-davenport.com,Caroline Foley,,,View Pricing
Greg,Mata,Valentine LLC,jaredjuarez@carroll.org,Greg Mata,,,View Pricing
Clifford,Jacobson,Simon LLC,joseph26@jacobson.com,Clifford Jacobson,,,View Pricing
Joanna,Kirk,Mays-Mccormick,tuckerangie@salazar.net,Joanna Kirk,,,View Pricing
Maxwell,Frye,Patterson Inc,fgibson@drake-webb.com,Maxwell Frye,,,View Pricing
Kiara,Houston,"Manning, Hester and Arroyo",blanchardbob@wallace-shannon.com,Kiara Houston,,,View Pricing
Colleen,Howard,Greer and Sons,rsingleton@ryan-cherry.com,Colleen Howard,,,View Pricing
Janet,Valenzuela,Watts-Donaldson,stefanie71@spence.com,Janet Valenzuela,,,View Pricing
Shane,Wilcox,Tucker LLC,mariah88@santos.com,Shane Wilcox,,,View Pricing
Marcus,Moody,Giles Ltd,donnamullins@norris-barrett.org,Marcus Moody,,,View Pricing
Dakota,Poole,Simmons Group,stacey67@fields.org,Dakota Poole,,,View Pricing
Frederick,Harper,"Hinton, Chaney and Stokes",jacobkhan@bright.biz,Frederick Harper,,,View Pricing
Stefanie,Fitzpatrick,Santana-Duran,wterrell@clark.com,Stefanie Fitzpatrick,,,View Pricing
Kent,Bradshaw,Sawyer PLC,qjimenez@boyd.com,Kent Bradshaw,,,View Pricing
Jack,Tate,"Acosta, Petersen and Morrow",gfigueroa@boone-zavala.com,Jack Tate,,,View Pricing
Tom,Trujillo,Mcgee Group,tapiagreg@beard.info,Tom Trujillo,,,View Pricing
Gabriel,Mejia,Adkins-Salinas,coleolson@jennings.net,Gabriel Mejia,,,View Pricing
Kaitlyn,Santana,Herrera Group,georgeross@miles.org,Kaitlyn Santana,,,View Pricing
Faith,Moon,"Waters, Chase and Aguilar",willistonya@randolph-baker.com,Faith Moon,,,View Pricing
Tammie,Haley,"Palmer, Barnes and Houston",harrisisaiah@jenkins.com,Tammie Haley,,,View Pricing
Nicholas,Sosa,Jordan Ltd,fwolfe@dorsey.com,Nicholas Sosa,,,View Pricing
Jordan,Gay,Glover and Sons,tiffanydavies@harris-mcfarland.org,Jordan Gay,,,View Pricing
Bruce,Esparza,Huerta-Mclean,preese@frye-vega.com,Bruce Esparza,,,View Pricing
Sherry,Garza,Anderson Ltd,ann48@miller.com,Sherry Garza,,,View Pricing
Natalie,Gentry,Monroe PLC,tcummings@fitzpatrick-ashley.com,Natalie Gentry,,,View Pricing
Bryan,Dunn,Kaufman and Sons,woodwardandres@phelps.com,Bryan Dunn,,,View Pricing
Wayne,Simpson,Perkins-Trevino,barbarapittman@holder.com,Wayne Simpson,,,View Pricing
Luis,Greer,Cross PLC,bstuart@williamson-mcclure.com,Luis Greer,,,View Pricing
Rhonda,Frost,"Herrera, Shepherd and Underwood",zkrueger@wolf-chavez.net,Rhonda Frost,,,View Pricing
Joanne,Montes,"Price, Sexton and Mcdaniel",juan80@henson.net,Joanne Montes,,,View Pricing
Geoffrey,Guzman,Short-Wiggins,bauercrystal@gay.com,Geoffrey Guzman,,,View Pricing
Gloria,Mccall,"Brennan, Acosta and Ramos",bartlettjenna@zuniga-moss.biz,Gloria Mccall,,,View Pricing
Brady,Cohen,Osborne-Erickson,mccalltyrone@durham-rose.biz,Brady Cohen,,,View Pricing
Latoya,Mccann,"Hobbs, Garrett and Sanford",bobhammond@barry.biz,Latoya Mccann,,,View Pricing
Gerald,Hawkins,"Phelps, Forbes and Koch",uwarner@steele-arias.com,Gerald Hawkins,,,View Pricing
Samuel,Crawford,"May, Goodwin and Martin",xpittman@ritter-carney.net,Samuel Crawford,,,View Pricing
Patricia,Goodwin,"Christian, Winters and Ellis",vaughanchristy@lara.biz,Patricia Goodwin,,,View Pricing
Stacie,Richard,Byrd Inc,clinton85@colon-arias.org,Stacie Richard,,,View Pricing
Robin,West,"Nixon, Blackwell and Sosa",greenemiranda@zimmerman.com,Robin West,,,View Pricing
Ralph,Haas,Montes PLC,goodmancesar@figueroa.biz,Ralph Haas,,,View Pricing
Phyllis,Maldonado,Costa PLC,yhanson@warner-diaz.org,Phyllis Maldonado,,,View Pricing
Danny,Parrish,Novak LLC,howelldarren@house-cohen.com,Danny Parrish,,,View Pricing
Kathy,Hill,"Moore, Mccoy and Glass",ncamacho@boone-simmons.org,Kathy Hill,,,View Pricing
Kelli,Hardy,Petty Ltd,kristopher62@oliver.com,Kelli Hardy,,,View Pricing
Lynn,Pham,"Brennan, Camacho and Tapia",mpham@rios-guzman.com,Lynn Pham,,,View Pricing
Shelley,Harris,"Prince, Malone and Pugh",zachary96@mitchell-bryant.org,Shelley Harris,,,View Pricing
Eddie,Jimenez,Caldwell Group,kristiwhitney@bernard.com,Eddie Jimenez,,,View Pricing
Chloe,Hutchinson,Simon LLC,leah85@sutton-terrell.com,Chloe Hutchinson,,,View Pricing
Eileen,Lynch,"Knight, Abbott and Hubbard",levigiles@vincent.com,Eileen Lynch,,,View Pricing
Fernando,Lambert,Church-Banks,fisherlinda@schaefer.net,Fernando Lambert,,,View Pricing
Makayla,Cannon,Henderson Inc,scottcurtis@hurley.biz,Makayla Cannon,,,View Pricing
Tom,Alvarado,Donaldson-Dougherty,nicholsonnina@montgomery.info,Tom Alvarado,,,View Pricing
Virginia,Dudley,Warren Ltd,zvalencia@phelps.com,Virginia Dudley,,,View Pricing
Riley,Good,Wade PLC,alex06@galloway.com,Riley Good,,,View Pricing
Alexandria,Buck,Keller-Coffey,lee48@manning.com,Alexandria Buck,,,View Pricing
Richard,Roth,Conway-Mcbride,aharper@maddox-townsend.org,Richard Roth,,,View Pricing
Candice,Keller,Huynh and Sons,buckleycory@odonnell.net,Candice Keller,,,View Pricing
Anita,Benson,Parrish Ltd,angie04@oconnell.com,Anita Benson,,,View Pricing
Regina,Stein,Guzman-Brown,zrosario@rojas-hardin.net,Regina Stein,,,View Pricing
Debra,Riddle,"Chang, Aguirre and Leblanc",shieldskerry@robles.com,Debra Riddle,,,View Pricing
Brittany,Zuniga,Mason-Hester,mchandler@cochran-huerta.org,Brittany Zuniga,,,View Pricing
Cassidy,Mcmahon,"Mcguire, Huynh and Hopkins",katrinalane@fitzgerald.com,Cassidy Mcmahon,,,View Pricing
Laurie,Pennington,"Sanchez, Marsh and Hale",cookejill@powell.com,Laurie Pennington,,,View Pricing
Alejandro,Blair,"Combs, Waller and Durham",elizabethbarr@ewing.com,Alejandro Blair,,,View Pricing
Leslie,Jennings,Blankenship-Arias,corey75@wiggins.com,Leslie Jennings,,,View Pricing
Kathleen,Mckay,"Coffey, Lamb and Johnson",chloelester@higgins-wilkinson.com,Kathleen Mckay,,,View Pricing
Hunter,Moreno,Fitzpatrick-Lawrence,isaac26@benton-finley.com,Hunter Moreno,,,View Pricing
Chad,Davidson,Garcia-Jimenez,justinwalters@jimenez.com,Chad Davidson,,,View Pricing
Corey,Holt,"Mcdonald, Bird and Ramirez",maurice46@morgan.com,Corey Holt,,,View Pricing
Emma,Cunningham,Stephens Inc,walter83@juarez.org,Emma Cunningham,,,View Pricing
Duane,Woods,Montoya-Miller,kmercer@wagner.com,Duane Woods,,,View Pricing
Alison,Vargas,"Vaughn, Watts and Leach",vcantu@norton.com,Alison Vargas,,,View Pricing
Vernon,Kane,Carter-Strickland,hilljesse@barrett.info,Vernon Kane,,,View Pricing
Lori,Flowers,Decker-Mcknight,tyrone77@valenzuela.info,Lori Flowers,,,View Pricing
Nina,Chavez,Byrd-Campbell,elliserica@frank.com,Nina Chavez,,,View Pricing
Shane,Foley,Rocha-Hart,nsteele@sparks.com,Shane Foley,,,View Pricing
Collin,Ayers,Lamb-Peterson,dudleyemily@gonzales.biz,Collin Ayers,,,View Pricing
Sherry,Young,"Lee, Lucero and Johnson",alan79@gates-mclaughlin.com,Sherry Young,,,View Pricing
Darrell,Douglas,"Newton, Petersen and Mathis",grayjean@lowery-good.com,Darrell Douglas,,,View Pricing
Karl,Greer,Carey LLC,hhart@jensen.com,Karl Greer,,,View Pricing
Lynn,Atkinson,"Ware, Burns and Oneal",vkemp@ferrell.com,Lynn Atkinson,,,View Pricing
Fred,Guerra,Schmitt-Jones,swagner@kane.org,Fred Guerra,40,Viewed pricing page,View Pricing
Yvonne,Farmer,Fitzgerald-Harrell,mccarthystephen@horn-green.biz,Yvonne Farmer,,,View Pricing
Clarence,Haynes,"Le, Nash and Cross",colleen91@faulkner.biz,Clarence Haynes,40,Viewed pricing page,View Pricing
